XLA,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.95,196,0,1.05263,0.70711,0.05569,0.25945,0.05569,2.086497,2.330052,1.401637,1.568423,99.420547,0.668156,0.05291,0.228935,0.00848,0.04722
0.95,200,0,1.05263,0.70711,0.05554,0.2593,0.05554,2.088977,2.332348,1.403814,1.570473,101.422714,0.668452,0.05276,0.228788,0.00831,0.04722
0.95,4,0,2.36287,0.70711,0.19962,0.48085,0.25409,0.780804,1.101876,0.461282,0.650964,2.744274,0.311729,0.241386,0.396885,0.15961,0.04002
0.95,8,0,2.36287,0.70711,0.14882,0.45947,0.18005,1.106146,1.390643,0.71443,0.888399,5.011611,0.382161,0.171049,0.396789,0.10626,0.04256
0.95,12,0,2.36287,0.70711,0.12483,0.44303,0.14663,1.346216,1.602414,0.914082,1.074665,7.205604,0.421594,0.139298,0.389108,0.08107,0.04376
0.95,16,0,2.36287,0.70711,0.11034,0.43065,0.12703,1.537243,1.776715,1.078234,1.234569,9.350172,0.447814,0.120683,0.381504,0.06585,0.04448
0.95,20,0,2.36287,0.70711,0.10054,0.42107,0.11407,1.6943,1.928061,1.215902,1.375762,11.462153,0.466731,0.108371,0.374899,0.05556,0.04497
0.95,24,0,2.36287,0.70711,0.09344,0.41344,0.10484,1.826094,2.061785,1.332974,1.501046,13.55199,0.481092,0.099599,0.369309,0.04811,0.04533
0.95,28,0,2.36287,0.70711,0.08805,0.40725,0.09791,1.938333,2.180322,1.433631,1.612049,15.626023,0.492392,0.093018,0.364589,0.04245,0.0456
0.95,32,0,2.36287,0.70711,0.0838,0.40213,0.09252,2.035026,2.285341,1.520963,1.710218,17.688289,0.501524,0.087891,0.360585,0.03799,0.04581
0.95,36,0,2.36287,0.70711,0.08038,0.39784,0.08819,2.119114,2.378335,1.597328,1.796982,19.741495,0.50906,0.083777,0.357163,0.0344,0.04598
0.95,40,0,2.36287,0.70711,0.07755,0.39418,0.08463,2.192825,2.460713,1.664557,1.873716,21.787545,0.515383,0.0804,0.354217,0.03143,0.04612
0.95,44,0,2.36287,0.70711,0.07517,0.39104,0.08166,2.257886,2.53379,1.724103,1.9417,23.827811,0.520764,0.077575,0.35166,0.02893,0.04624
0.95,48,0,2.36287,0.70711,0.07315,0.38832,0.07913,2.315662,2.598759,1.77713,2.00208,25.863328,0.525398,0.075177,0.349425,0.02681,0.04634
0.95,52,0,2.36287,0.70711,0.0714,0.38593,0.07696,2.36725,2.65668,1.824586,2.055871,27.894891,0.529428,0.073114,0.347458,0.02497,0.04643
0.95,56,0,2.36287,0.70711,0.06988,0.38383,0.07507,2.413539,2.708482,1.867251,2.103951,29.923117,0.532964,0.071319,0.345716,0.02338,0.04651
0.95,60,0,2.36287,0.70711,0.06854,0.38196,0.07341,2.455261,2.754965,1.905767,2.147077,31.948494,0.536091,0.069744,0.344165,0.02197,0.04657
0.95,64,0,2.36287,0.70711,0.06736,0.38029,0.07195,2.493022,2.796822,1.940675,2.185899,33.971428,0.538876,0.06835,0.342775,0.02073,0.04663
0.95,68,0,2.36287,0.70711,0.0663,0.3788,0.07064,2.527331,2.834645,1.972426,2.220972,35.992244,0.54137,0.067106,0.341524,0.01961,0.04669
0.95,72,0,2.36287,0.70711,0.06535,0.37744,0.06946,2.558612,2.868942,2.001405,2.25277,38.011204,0.543617,0.065991,0.340393,0.01862,0.04673
0.95,76,0,2.36287,0.70711,0.06449,0.37622,0.0684,2.587229,2.900149,2.027936,2.2817,40.028552,0.545651,0.064984,0.339365,0.01772,0.04678
0.95,80,0,2.36287,0.70711,0.06371,0.3751,0.06744,2.613489,2.928637,2.052301,2.308107,42.044454,0.547501,0.064071,0.338428,0.0169,0.04681
0.95,84,0,2.36287,0.70711,0.063,0.37408,0.06657,2.637659,2.954726,2.074739,2.332289,44.059108,0.549191,0.063238,0.337571,0.01615,0.04685
0.95,88,0,2.36287,0.70711,0.06235,0.37314,0.06576,2.659967,2.978695,2.095459,2.354505,46.072649,0.55074,0.062477,0.336784,0.01547,0.04688
0.95,92,0,2.36287,0.70711,0.06176,0.37228,0.06503,2.680607,3.000776,2.114639,2.374971,48.085161,0.552165,0.061777,0.336058,0.01484,0.04691
0.95,96,0,2.36287,0.70711,0.0612,0.37148,0.06435,2.699753,3.021176,2.132437,2.393878,50.096769,0.55348,0.061132,0.335388,0.01426,0.04694
0.95,100,0,2.36287,0.70711,0.0607,0.37074,0.06372,2.717555,3.040073,2.14899,2.411393,52.10758,0.554697,0.060536,0.334767,0.01373,0.04697
0.95,104,0,2.36287,0.70711,0.06022,0.37005,0.06314,2.734142,3.057623,2.164419,2.427659,54.117643,0.555828,0.059983,0.33419,0.01323,0.04699
0.95,108,0,2.36287,0.70711,0.05978,0.36942,0.0626,2.749631,3.073961,2.178829,2.4428,56.12704,0.55688,0.059468,0.333652,0.01277,0.04701
0.95,112,0,2.36287,0.70711,0.05937,0.36882,0.06209,2.764123,3.089204,2.192316,2.456928,58.135833,0.557861,0.058989,0.33315,0.01234,0.04703
0.95,116,0,2.36287,0.70711,0.05899,0.36826,0.06162,2.777709,3.103457,2.20496,2.470139,60.144076,0.558779,0.05854,0.332681,0.01194,0.04705
0.95,120,0,2.36287,0.70711,0.05863,0.36774,0.06118,2.790467,3.116811,2.216837,2.482516,62.151862,0.55964,0.05812,0.33224,0.01156,0.04707
0.95,124,0,2.36287,0.70711,0.05829,0.36725,0.06076,2.80247,3.129348,2.228011,2.494135,64.159147,0.560447,0.057726,0.331827,0.01121,0.04709
0.95,128,0,2.36287,0.70711,0.05798,0.36679,0.06037,2.81378,3.14114,2.238542,2.505064,66.16601,0.561207,0.057355,0.331438,0.01088,0.0471
0.95,132,0,2.36287,0.70711,0.05768,0.36635,0.06001,2.824454,3.152249,2.248482,2.51536,68.172484,0.561924,0.057005,0.331071,0.01056,0.04712
0.95,136,0,2.36287,0.70711,0.0574,0.36594,0.05966,2.834539,3.162727,2.257874,2.525072,70.178546,0.5626,0.056676,0.330725,0.01027,0.04713
0.95,140,0,2.36287,0.70711,0.05713,0.36555,0.05933,2.844088,3.172635,2.266768,2.534255,72.184345,0.563239,0.056364,0.330397,0.00999,0.04714
0.95,144,0,2.36287,0.70711,0.05688,0.36518,0.05902,2.85314,3.182014,2.275199,2.542948,74.18984,0.563845,0.056068,0.330087,0.00972,0.04716
0.95,148,0,2.36287,0.70711,0.05664,0.36483,0.05872,2.86173,3.190905,2.2832,2.551189,76.195055,0.564419,0.055788,0.329792,0.00947,0.04717
0.95,152,0,2.36287,0.70711,0.05641,0.3645,0.05844,2.869893,3.199345,2.290805,2.559011,78.20001,0.564965,0.055522,0.329513,0.00923,0.04718
0.95,156,0,2.36287,0.70711,0.05619,0.36418,0.05818,2.87766,3.207367,2.29804,2.566446,80.204724,0.565483,0.05527,0.329247,0.009,0.04719
