XLA,MU,THT,DT1,DT2,N,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.8,1,0.1,1,2,4,156,0,1.25,0.70711,0.05661,0.33536,0.05661,1.458381,1.932986,0.850356,1.128408,79.362352,0.593195,0.045292,0.161513,0.00945,0.04717
0.8,1,0.1,1,2,4,160,0,1.25,0.70711,0.0564,0.3352,0.0564,1.460273,1.935032,0.851874,1.130118,81.36506,0.59356,0.045117,0.161322,0.00922,0.04718
0.8,1,0.1,1,2,4,164,0,1.25,0.70711,0.05619,0.33506,0.05619,1.462077,1.936981,0.853321,1.131747,83.367649,0.593908,0.044951,0.161141,0.009,0.04719
0.8,1,0.1,1,2,4,168,0,1.25,0.70711,0.05599,0.33491,0.05599,1.463796,1.938839,0.8547,1.1333,85.370021,0.59424,0.044793,0.160967,0.00879,0.0472
0.8,1,0.1,1,2,4,172,0,1.25,0.70711,0.0558,0.33478,0.0558,1.465439,1.940612,0.856018,1.134782,87.372386,0.594557,0.044641,0.160802,0.00859,0.04721
0.8,1,0.1,1,2,4,176,0,1.25,0.70711,0.05562,0.33465,0.05562,1.467008,1.942306,0.857277,1.136198,89.374658,0.59486,0.044497,0.160644,0.0084,0.04722
0.8,1,0.1,1,2,4,180,0,1.25,0.70711,0.05545,0.33452,0.05545,1.46851,1.943926,0.858482,1.137553,91.376692,0.59515,0.044358,0.160492,0.00822,0.04723
0.8,1,0.1,1,2,4,184,0,1.25,0.70711,0.05528,0.33441,0.05528,1.469945,1.945473,0.859633,1.138846,93.378454,0.595426,0.044226,0.160348,0.00805,0.04724
0.8,1,0.1,1,2,4,188,0,1.25,0.70711,0.05512,0.33429,0.05512,1.471324,1.946959,0.860739,1.140089,95.380425,0.595692,0.044099,0.160209,0.00788,0.04724
0.8,1,0.1,1,2,4,192,0,1.25,0.70711,0.05497,0.33418,0.05497,1.472646,1.948385,0.8618,1.14128,97.382198,0.595947,0.043977,0.160076,0.00772,0.04725
0.8,1,0.1,1,2,4,196,0,1.25,0.70711,0.05482,0.33408,0.05482,1.473916,1.949752,0.862819,1.142423,99.384017,0.596192,0.04386,0.159948,0.00757,0.04726
0.8,1,0.1,1,2,4,200,0,1.25,0.70711,0.05468,0.33398,0.05468,1.475137,1.951067,0.863798,1.143522,101.385774,0.596428,0.043747,0.159825,0.00742,0.04727
0.8,1,0.1,1,2,4,4,0,2.8059,0.70711,0.18909,0.51353,0.24569,0.656057,1.087179,0.358674,0.594374,2.775053,0.29013,0.196551,0.31332,0.14855,0.04055
0.8,1,0.1,1,2,4,8,0,2.8059,0.70711,0.14123,0.49641,0.17466,0.905564,1.350112,0.543207,0.801882,5.042871,0.353519,0.13973,0.306751,0.0983,0.04294
0.8,1,0.1,1,2,4,12,0,2.8059,0.70711,0.11882,0.48269,0.14263,1.083209,1.537909,0.684719,0.961538,7.2358,0.38877,0.114101,0.297128,0.07476,0.04406
0.8,1,0.1,1,2,4,16,0,2.8059,0.70711,0.10533,0.47229,0.12382,1.221018,1.688862,0.798637,1.095761,9.378692,0.412078,0.099057,0.288865,0.0606,0.04473
0.8,1,0.1,1,2,4,20,0,2.8059,0.70711,0.09624,0.46423,0.11137,1.332077,1.816885,0.892541,1.211652,11.488712,0.428815,0.089095,0.28209,0.05105,0.04519
0.8,1,0.1,1,2,4,24,0,2.8059,0.70711,0.08966,0.45783,0.10249,1.423743,1.927442,0.971236,1.312252,13.57643,0.441471,0.081992,0.276537,0.04415,0.04552
0.8,1,0.1,1,2,4,28,0,2.8059,0.70711,0.08468,0.45264,0.09583,1.500719,2.02339,1.038038,1.399602,15.648255,0.451396,0.076661,0.271943,0.03891,0.04577
0.8,1,0.1,1,2,4,32,0,2.8059,0.70711,0.08076,0.44836,0.09063,1.566228,2.106805,1.095351,1.475476,17.70827,0.459393,0.072507,0.2681,0.0348,0.04596
0.8,1,0.1,1,2,4,36,0,2.8059,0.70711,0.0776,0.44477,0.08647,1.622591,2.179457,1.144966,1.541488,19.759228,0.465976,0.069174,0.26485,0.03148,0.04612
0.8,1,0.1,1,2,4,40,0,2.8059,0.70711,0.075,0.44172,0.08305,1.67153,2.242903,1.188254,1.599079,21.803061,0.471489,0.066439,0.262072,0.02875,0.04625
0.8,1,0.1,1,2,4,44,0,2.8059,0.70711,0.07281,0.43911,0.08019,1.714362,2.298501,1.226286,1.649508,23.841171,0.476171,0.064153,0.259676,0.02645,0.04636
0.8,1,0.1,1,2,4,48,0,2.8059,0.70711,0.07095,0.43685,0.07776,1.752111,2.347415,1.259909,1.693851,25.874607,0.480197,0.062212,0.257591,0.0245,0.04645
0.8,1,0.1,1,2,4,52,0,2.8059,0.70711,0.06935,0.43487,0.07568,1.785587,2.390636,1.289801,1.733018,27.904171,0.483693,0.060543,0.255764,0.02282,0.04653
0.8,1,0.1,1,2,4,56,0,2.8059,0.70711,0.06795,0.43312,0.07386,1.815442,2.429,1.316515,1.767773,29.93049,0.486758,0.059092,0.25415,0.02135,0.0466
0.8,1,0.1,1,2,4,60,0,2.8059,0.70711,0.06672,0.43157,0.07227,1.842203,2.463206,1.340501,1.798756,31.954058,0.489465,0.057818,0.252717,0.02006,0.04666
0.8,1,0.1,1,2,4,64,0,2.8059,0.70711,0.06564,0.43019,0.07086,1.866304,2.493842,1.362135,1.826502,33.975277,0.491873,0.056692,0.251436,0.01892,0.04672
0.8,1,0.1,1,2,4,68,0,2.8059,0.70711,0.06467,0.42896,0.06961,1.888104,2.521403,1.381726,1.851461,35.994485,0.494028,0.055687,0.250285,0.0179,0.04677
0.8,1,0.1,1,2,4,72,0,2.8059,0.70711,0.0638,0.42784,0.06848,1.907902,2.546298,1.399534,1.874005,38.011925,0.495968,0.054786,0.249246,0.01699,0.04681
0.8,1,0.1,1,2,4,76,0,2.8059,0.70711,0.06301,0.42682,0.06747,1.925947,2.568877,1.415781,1.894452,40.027824,0.497723,0.053974,0.248303,0.01616,0.04685
0.8,1,0.1,1,2,4,80,0,2.8059,0.70711,0.0623,0.4259,0.06655,1.942454,2.589434,1.430652,1.913068,42.042383,0.499318,0.053237,0.247445,0.01541,0.04689
0.8,1,0.1,1,2,4,84,0,2.8059,0.70711,0.06165,0.42506,0.06571,1.957602,2.608218,1.444308,1.930079,44.055754,0.500774,0.052565,0.24666,0.01473,0.04692
0.8,1,0.1,1,2,4,88,0,2.8059,0.70711,0.06105,0.42429,0.06494,1.971546,2.625441,1.456885,1.945675,46.068074,0.502108,0.051951,0.24594,0.0141,0.04695
0.8,1,0.1,1,2,4,92,0,2.8059,0.70711,0.06051,0.42358,0.06423,1.984418,2.641283,1.468499,1.960022,48.079457,0.503335,0.051387,0.245278,0.01353,0.04697
0.8,1,0.1,1,2,4,96,0,2.8059,0.70711,0.06,0.42292,0.06358,1.996334,2.6559,1.479255,1.973259,50.090005,0.504467,0.050867,0.244666,0.013,0.047
